"name","wkt"
"十字屋","POINT (140.718338 41.76334)"
"MUSEA ミュゼア","POINT (136.843471 34.4837421)"
"みつたけ珈琲店","POINT (135.577024 34.801522)"
"ドトールコーヒーショップ新宿アイランド店","POINT (139.693279 35.693862)"
"モロゾフ くまもと県民百貨店","POINT (130.703722 32.799772)"
"国立コーヒーロースター","POINT (139.447918 35.699872)"
"サンマルクカフェ","POINT (139.7763029 35.7117495)"
"nino","POINT (136.9263984 34.8914934)"
"珈琲銘香 さんく 桑名店","POINT (136.6571297 35.0678467)"
"キャンディーライト","POINT (138.424391 36.32775)"
"Regalo Coffee","POINT (139.6307714 35.5842969)"
"星乃珈琲店池袋東武ホープセンター店","POINT (139.71039 35.730588)"
"響","POINT (135.624834 34.505917)"
"嘉多山珈琲","POINT (141.3122253 43.1105576)"
"ONSAYA 奉還町本店","POINT (133.9152748 34.6690609)"
"カルディコーヒーファーム イオン釧路店","POINT (144.404248 43.009484)"
"如水舎春日井店","POINT (136.9717903 35.2683364)"
"スターバックス","POINT (133.536733 33.560327)"
"Breeze Terrace Shonan","POINT (139.6068049 35.2520152)"
"Leo Coffee Roasters","POINT (138.3077 36.6489921)"
"港屋珈琲伊賀店","POINT (136.126716 34.775207)"
"スターバックス","POINT (136.901126 35.142063)"
"蒼穹珈琲","POINT (133.8933433 34.5859643)"
"Misaki coffee & roastery","POINT (141.277644 43.08835)"
"Cafe&Bar Kakurega（今池カフェ）","POINT (136.9374191 35.17462)"
"Itteru Coffee","POINT (139.7407746 35.7010856)"
"手づくりぱんの喫茶店ほのか","POINT (130.477001 33.633961)"
"三本珈琲店","POINT (141.676266 42.78612)"
"喫茶みなと","POINT (139.63026 35.446515)"
"EXCELSIOR CAFFÉ","POINT (140.476006 36.37055)"
"珈琲人","POINT (136.927554 35.136451)"
"Cafe Sorte","POINT (139.317926 35.886707)"
"ピットイン","POINT (131.719984 33.456021)"
"ケントハウス","POINT (135.152881 33.901103)"
"小山珈琲","POINT (133.764064 34.594658)"
"セガフレード・ザネッティ新宿3丁目店","POINT (139.703413 35.690727)"
"NaNaya Farm +Cafe","POINT (131.0078886 34.4134265)"
"UTSUROI TSUTIYA ANNEX","POINT (134.8049068 35.6244948)"
"成田珈琲株式会社","POINT (134.700245 34.8292364)"
"ドトールコーヒーショップ 南阿佐ヶ谷駅前店","POINT (139.635177 35.699366)"
"コメダ珈琲店東川口店","POINT (139.754215 35.864666)"
"西原珈琲店伏見店","POINT (136.89472 35.168843)"
"Anymanyshop","POINT (135.2264526 34.8875342)"
"パワープラント","POINT (133.811898 34.565649)"
"Starbucks Coffee - Oyama Yuen Harvest Walk","POINT (139.8080955 36.3352279)"
"ハート オブ ワン","POINT (140.356491 37.602264)"
"ハーパーズ・ミル","POINT (138.5929522 35.6679325)"
"Maitoparta","POINT (127.6656231 26.176215)"
"リーフ","POINT (142.38331 43.757491)"
"長良畔","POINT (136.680684 35.315583)"
"Lushlife Coffee","POINT (134.0483659 34.33169)"
"GESHARY COFFEE","POINT (139.7605589 35.6739383)"
"カプリッシォ","POINT (139.507797 35.703874)"
"そうけい珈琲","POINT (139.122818 35.241318)"
"ベルベル・ソル","POINT (131.012934 34.041184)"
"横浜愛育会 おおぐち工房第3ふれあいTOMO","POINT (139.645831 35.493304)"
"珈琲所コメダ珈琲店足利朝倉店","POINT (139.444568 36.320415)"
"コメダ珈琲店白子稲生店","POINT (136.558858 34.840948)"
"YetiFazenda","POINT (136.216944 35.23544)"
"Hanacafe","POINT (138.2590188 36.3969364)"
"Aaron's","POINT (134.5539183 34.0709259)"
"海辺と珈琲　ことり","POINT (131.6730644 33.6496003)"
"Starbucks","POINT (140.385656 35.764484)"
"彼とコーヒー","POINT (132.741457 33.873172)"
"アラビカコーヒー 沼津店","POINT (138.854783 35.11952)"
"モトテカコーヒー すずかけ台キャンパス店","POINT (139.4838824 35.5143431)"
"コメダ珈琲店神戸西神南店","POINT (135.028681 34.698853)"
"やば珈琲店沼津店","POINT (138.858163 35.101094)"
"ハッピー","POINT (136.508227 36.054791)"
"ユウ","POINT (139.9530808 35.8476292)"
"BEANS Tasty Coffee Roasters自家焙煎珈琲専門店","POINT (135.5221232 34.849958)"
"アトリエりんりん","POINT (136.7764017 35.4910507)"
"珈治伊","POINT (132.775114 33.840342)"
"Regolith Coffee Co.,Ltd","POINT (131.6503381 32.5788858)"
"カフェオルタ","POINT (138.9302527 34.9715741)"
"コメダ珈琲店笠懸阿左美店","POINT (139.302403 36.380883)"
"Okaffe kyoto","POINT (135.7620236 35.0023684)"
"コメダ珈琲店岡崎橋目店","POINT (137.126984 34.985968)"
"水品堂","POINT (134.924089 34.54618)"
"Edogawa Coffee Company Boutique Roastery & Espresso Bar","POINT (139.8820548 35.6874895)"
"45R 葉山店","POINT (139.5700654 35.2799986)"
"Hoshino Coffee Asty Kyoto","POINT (135.759656 34.984546)"
"Galitebe Coffee","POINT (135.52878 34.5391883)"
"SPARKY’sCoffee","POINT (133.9750265 34.4597896)"
"エトナコーヒー","POINT (140.054716 35.657685)"
"ミルクハウス","POINT (131.419076 31.930726)"
"coffee caraway","POINT (139.6909943 35.6355896)"
"ドトールコーヒーショップ","POINT (130.397611 33.593213)"
"風の森","POINT (137.219562 35.097919)"
"ビリオン珈琲大垣南店","POINT (136.62173 35.338452)"
"Gratbrown Roast and Bake","POINT (139.68282 35.657005)"
"Coffee&Canzume Bar YuBel 船橋店","POINT (139.9869083 35.6990324)"
"Drip & Drop Coffee Roastery","POINT (135.7468799 35.0282011)"
"どっぽ自家焙煎珈琲豆","POINT (139.560298 35.705318)"
"ヒロハウス","POINT (132.910204 34.340018)"
"レモンの木","POINT (136.468296 34.743603)"
"ブラックマウンテン","POINT (139.6469319 35.7065567)"
"ジャックと豆の木","POINT (139.685679 35.706499)"
"珈巣多夢","POINT (140.8691872 38.2660703)"
"ドトールコーヒーショップ 小倉魚町2丁目店","POINT (130.87996 33.883673)"
"カフェ・ド・アン・ダニエルズ","POINT (136.6887836 35.061071)"
"カルディ コーヒーファーム 桜新町店","POINT (139.643881 35.631419)"
"農家カフェ 37テラス","POINT (139.132738 35.322922)"
"スターバックス","POINT (139.606364 36.299156)"
"シェレンバウム 西那須野店","POINT (139.997866 36.882266)"
"コーヒーハウス井戸","POINT (135.255886 34.711935)"
"Sunshine Picnic days","POINT (133.825314 34.3521563)"
"タリーズコーヒー 梅田茶屋町MBS店","POINT (135.499876 34.708464)"
"coffee shop tera coffee","POINT (139.8802215 36.5604659)"
"大島珈琲店","POINT (131.2484377 33.9479611)"
"ソルシエール","POINT (140.055544 35.697449)"
"Byron Bay Coffee Company","POINT (139.7564244 35.6574844)"
"タリーズコーヒー","POINT (130.415434 33.610088)"
"倉式珈琲店 イトーヨーカドー国領店","POINT (139.563992 35.646822)"
"店内焙煎／珈琲工務店","POINT (141.194858 38.678551)"
"ローヤル珈琲店","POINT (139.79441 35.712691)"
"BLUE DOOR COFFEE","POINT (139.5067627 35.5673975)"
"コメダ珈琲北浦和駅前店","POINT (139.646479 35.872655)"
"茶煙四十九手","POINT (139.6678405 35.6443693)"
"スターバックス","POINT (137.059464 34.863293)"
"ベル・ヴィル 岸和田カンカンベイサイドモール店","POINT (135.371432 34.46659)"
"ドトールコーヒーショップ 町田駅前店","POINT (139.446171 35.544431)"
"ピープル","POINT (135.6311462 34.7680115)"
"パルテール","POINT (135.498564 34.708495)"
"Coffee Roasting Daruma","POINT (133.5192873 34.4981002)"
"KAFFEE FIKA 武庫之荘店","POINT (135.3957744 34.7512125)"
"かじか","POINT (137.861475 36.500817)"
"Specialty coffee DEARCUP","POINT (135.4676941 34.5806153)"
"コーヒーターミナル","POINT (139.563057 35.535481)"
"コーヒーハウス葡萄畑","POINT (130.3685764 32.7838899)"
"caferest サウサリート","POINT (133.541622 33.54614)"
"珈琲亭・郷","POINT (139.637765 35.723673)"
"Honjo Coffeehouse","POINT (139.1971748 36.2263153)"
"舟和本店喫茶","POINT (139.79467 35.712001)"
"夢ハウス","POINT (138.2565832 36.3834942)"
"芦屋　焙煎屋","POINT (130.667828 33.913303)"
"みさご Coffee・Pancake＆Spaghetti","POINT (135.3458862 33.6849213)"
"杣喫茶店","POINT (132.598182 34.241583)"
"A Casa de  EigetuDou","POINT (139.0463403 37.9211253)"
"スターバックス","POINT (135.094438 34.678023)"
"Charles de Mills","POINT (140.66539 41.992468)"
"珈琲 もんじろう","POINT (131.493267 33.3128)"
"10 GOOD Coffee & sandwiches","POINT (132.4932933 34.5228759)"
"Starbucks","POINT (131.41948 31.8951)"
"倉式珈琲店札幌中島公園店","POINT (141.353568 43.039064)"
"グリル緑","POINT (133.185963 34.422041)"
"アムール","POINT (132.7621031 33.8385656)"
"Starbucks","POINT (135.53037 34.69183)"
"ウェスタンアレ","POINT (136.637942 36.570951)"
"ドトールコーヒーショップ 秦野北口店","POINT (139.227206 35.370199)"
"カフェ ログハット","POINT (139.749456 35.949682)"
"阿蘭陀屋","POINT (137.315163 34.681165)"
"コーヒースタンド福寿湯","POINT (134.011433 35.061761)"
"堀口珈琲 Otemachi One店","POINT (139.762296 35.687715)"
"Starbucks","POINT (139.51784 35.62378)"
"カフェ・ベローチェ 大鳥居駅前店","POINT (139.740606 35.552614)"
"マッターホーン 本店","POINT (137.383451 34.766521)"
"かとれあ","POINT (137.59935 34.789221)"
"ビーズカフェジャスパ","POINT (139.9673179 35.7297045)"
"fischiff KÜCHE","POINT (139.6437675 35.6644246)"
"駄菓子とビールとコーヒーのお店　ちいとこ商店","POINT (138.0864875 36.0752932)"
"fuu coffee","POINT (130.3979564 33.5768106)"
"TAISHOCOFFEEROASTER","POINT (130.1386264 33.5181605)"
"RIO COFFEE","POINT (135.3073232 34.7318657)"
"スパイスピッカ","POINT (140.329808 38.2713107)"
"ジョルコアコーヒー -jolcore coffee-","POINT (130.2709085 33.5810715)"
"茶房あずまや 自家焙煎スペシャルティ珈琲専門店","POINT (136.7413376 35.2727252)"
"ドトールコーヒーショップ 大倉山店","POINT (139.629398 35.521679)"
"黒柴コーヒー","POINT (131.1174855 32.826268)"
"スターバックス","POINT (133.812974 34.311106)"
"お茶の水サンクレールマルシェ","POINT (139.7650164 35.6987744)"
"Central Coffee","POINT (131.475516 34.1771625)"
"珈琲館初音屋","POINT (135.35035 34.730357)"
"Cafe & Guest House 凸屋","POINT (133.5578513 34.5073346)"
"あすかふぇ","POINT (137.0028219 34.8825769)"
"コーヒーハウスヒラタ","POINT (130.5526978 31.5695866)"
"タリーズコーヒー秋葉原UDX店","POINT (139.77255 35.700511)"
"ドトールコーヒーショップ田原町駅前店","POINT (139.791348 35.710346)"
"喫茶蔵","POINT (140.200031 36.082875)"
"パントマイム","POINT (130.473049 32.917243)"
"Cafe Crema","POINT (132.764739 33.8354536)"
"イムオムコーヒーロースターズ","POINT (137.0314516 35.1700166)"
"麹町珈琲 ユニモちはら台店","POINT (140.171756 35.528159)"
"まつぼっくり","POINT (134.212087 35.169251)"
"ハグジードーナツ","POINT (139.4537318 35.6509635)"
"喫茶とお酒花と寅","POINT (135.338746 34.73777)"
"Shiseido Beauty Salon","POINT (136.8857109 35.1689392)"
"タリーズコーヒー・ナチュラルステーション阪急石橋店","POINT (135.44593 34.80812)"
"ドトールコーヒーショップ","POINT (135.502656 34.684286)"
"珈琲所コメダ珈琲店滝野社インター店","POINT (134.95983 34.932268)"
"らあく","POINT (141.159109 40.69985)"
"寺角コーヒー","POINT (137.161559 34.964154)"
"駱駝屋","POINT (135.488925 34.68482)"
"にゃんぽんたん","POINT (140.880207 38.258556)"
"コメダ珈琲法隆寺店","POINT (135.745155 34.613756)"
"むさしの森珈琲宝塚中筋店","POINT (135.379453 34.812169)"
"RAIL COFFEE ROASTERS","POINT (130.567743 33.218161)"
"ペテパンナ","POINT (141.354436 43.074554)"
"Myoko Coffee ライムリゾート店","POINT (138.1772625 36.8639692)"
"語りばさ","POINT (135.187612 34.233384)"
"カントリーヴレッジ","POINT (137.064158 34.929099)"
"暮らしと珈琲　みちみち種や","POINT (141.3903126 43.2507912)"
"ファディ小戸店","POINT (130.3177722 33.5905517)"
"KIELO Coffee","POINT (139.7759601 35.701871)"
"大吉珈琲店経堂1号店","POINT (139.635779 35.647801)"
"星乃珈琲店所沢プロペ通り店","POINT (139.472335 35.787353)"
"珈琲館春日野道店","POINT (135.207016 34.702821)"
"侍珈琲","POINT (141.2750946 43.0761333)"
"FLAT Table","POINT (139.0844679 36.3714183)"
"茶房行山","POINT (136.9333372 35.1642979)"
"ドリアン","POINT (135.531395 34.62098)"
"KALDI COFFEE FARM","POINT (136.823932 35.392273)"
"マニス・マニス","POINT (133.959241 34.579825)"
"まるい珈琲","POINT (127.794683 26.43626)"
"マルマン石井フーズ","POINT (139.668106 35.661806)"
"Coffee+kitchen humoresque","POINT (139.9588919 35.8255679)"
"ミール珈屋凪","POINT (130.3005746 33.2613076)"
"Becks Coffee Shop Urawa","POINT (139.657037 35.859171)"
"ピーコック","POINT (139.797812 35.654825)"
"珈琲専門店MUC 三国ケ丘店","POINT (135.494358 34.564718)"
"伍福寿新店","POINT (139.646735 35.443329)"
"アディクトス　コーヒー　 Adictos Coffee","POINT (137.7348175 34.7073174)"
"KALDI COFFEE FARM","POINT (137.763376 34.739952)"
"令和喫茶zizz","POINT (140.0455785 36.9678481)"
"Coffee Roaster Enya","POINT (130.9371255 31.9738545)"
"KALDI COFFEE FARM","POINT (139.735014 35.607165)"
"LOOK UP COFFEE","POINT (139.6675427 35.663826)"
"ドリーム北山","POINT (136.938715 35.199258)"
"セイコー珈琲","POINT (132.600148 34.23602)"
"Coffee House Shaker","POINT (138.585459 36.3479848)"
"花屋敷","POINT (134.999499 35.00226)"
"ドトールコーヒーショップ シャポー市川店","POINT (139.90969 35.728223)"
"サバラン","POINT (136.502049 36.062371)"
"コメダ珈琲店大津皇子が丘店","POINT (135.860363 35.023223)"
"珈琲焙煎工房バルーガ","POINT (140.459146 39.0677354)"
"須坂ツーセブンゴルフ珈琲城フィレンツェ","POINT (138.282995 36.648866)"
"ホノルルコーヒー 三井アウトレットパーク 入間店","POINT (139.3815048 35.8103636)"
"焼肉福久たじべえ","POINT (136.146684 35.900489)"
"CAFE DEUX TOITS","POINT (139.736423 35.656909)"
"マメルクコーヒー","POINT (129.5494006 33.3690788)"
"アンティーク＆オールディーズ","POINT (130.9846893 33.9958762)"
"Kaffe TaK","POINT (135.929657 34.99038)"
"スタバ有楽町ビル1階店","POINT (139.7618452 35.6751197)"
"純喫茶 のい","POINT (138.377862 34.968561)"
"スターバックス","POINT (130.323214 33.581188)"
"ベックスコーヒーさいたま新都心店","POINT (139.6339412 35.8937199)"
"倉式珈琲店 イオンモール川口前川店","POINT (139.7075343 35.8333495)"
"ベックスコーヒー船橋駅店","POINT (139.9852145 35.7016905)"
"宇治日和","POINT (135.808309 34.892082)"
"珈琲屋らんぷ四日市店","POINT (136.6276796 35.0103984)"
"喫茶ニューY・C","POINT (135.498481 34.703867)"
"Cafe&Deli Indigo Coffee","POINT (140.4125824 35.8833612)"
"珈琲舎ロッセ","POINT (139.4481594 35.5413786)"
"ハナあかり","POINT (133.855346 34.187449)"
"スターバックス","POINT (139.028626 37.892651)"
"カチカチ山","POINT (137.3895264 34.7414362)"
"黒猫茶房","POINT (139.6335359 35.7050131)"
"Cafe comme ca","POINT (139.984829 35.702197)"
"喫茶Green","POINT (136.918392 35.178748)"
"ステーキ葉山","POINT (138.86104 35.101333)"
"喫茶 ひより","POINT (132.755135 35.349062)"
"アリコベール","POINT (137.344381 34.740418)"
"19HITOYASUMI 砺波店","POINT (136.9578001 36.6367844)"
"AMMONITE","POINT (139.7618608 35.7076324)"
"小綬鶏","POINT (139.99877 35.869713)"
"スターバックス","POINT (132.394807 34.373503)"
"スターバックス","POINT (138.527336 35.622978)"
"香琳亭","POINT (135.523396 34.668768)"
"スターバックス","POINT (130.875447 33.885809)"
"スターバックス","POINT (135.711734 34.589772)"
"水玉カフェ","POINT (140.903172 38.261415)"
"福田屋珈琲店","POINT (135.50512 34.663431)"
"ドトールコーヒーショップ 札幌福住店","POINT (141.404213 43.020279)"
"ティールームジュン","POINT (139.7895541 35.8676202)"
"麻布茶房伊勢丹浦和店","POINT (139.656376 35.859359)"
"松本珈琲工房","POINT (137.0374525 35.1782264)"
"庵ころもち","POINT (131.006928 32.857718)"
"サラ","POINT (138.01619 34.770052)"
"マタタビ珈琲豆店","POINT (133.9527425 34.2971584)"
"スターバックスコーヒー エキゾ神戸三宮店","POINT (135.19324 34.693687)"
"The Cream of the Crop Coffee","POINT (139.7030686 35.6588829)"
"mukuraf","POINT (139.796022 35.687812)"
"Park Coffee & Bagel","POINT (136.2208664 36.1186935)"
"MIOR","POINT (135.497576 34.704125)"
"珈琲の店、都亜","POINT (139.7810743 35.6849296)"
"高尾山スミカ スミカテーブル","POINT (139.256229 35.630986)"
"TASOGARE COFFEE STAND","POINT (135.497905 34.6762039)"
"洋燈","POINT (133.334595 35.432371)"
"まきや","POINT (139.738636 35.754707)"
"マザーリーフ ディアモールフィオレ店","POINT (135.497634 34.699878)"
"珈琲食堂 クモノキレマ","POINT (135.5352596 34.7429363)"
"アイスクリームカフェ羅針盤","POINT (140.593282 40.704229)"
"ブルーパール","POINT (136.712523 34.487969)"
"ポンムドテール","POINT (139.088711 37.897673)"
"スターバックス","POINT (131.465926 34.168931)"
"タリーズコーヒー田県神社前","POINT (136.9431929 35.3182704)"
"クロンボ 曲金店","POINT (138.408349 34.977596)"
"スターバックス","POINT (139.539708 35.514366)"
"PORTERS COFFEE","POINT (139.42551 35.692391)"
"ヴォアドゥクール郡山","POINT (140.3686656 37.4214953)"
"喫茶花言葉","POINT (139.07479 37.938983)"
"カヌー","POINT (129.493816 28.379833)"
"Starbucks","POINT (136.9523 35.37555)"
"とりバックス函南店","POINT (138.944131 35.087091)"
"BY & BY coffee and bar","POINT (139.6557297 35.6451494)"
"上島珈琲店神楽坂店","POINT (139.740555 35.701352)"
"andante","POINT (139.557208 35.708852)"
"古民家　めぐる","POINT (139.8192044 35.709405)"
"Chillout Coffee&Records","POINT (139.8006713 35.6948288)"
"楽風 - rafu","POINT (137.1585472 35.0862806)"
"自家焙煎cafe’ ちゃんと","POINT (139.7516131 35.7306016)"
"宮越屋珈琲新千歳空港店","POINT (141.681563 42.787588)"
"珈琲館渋川有馬店","POINT (139.003344 36.470598)"
"The Brilliant Coffee","POINT (131.439756 31.9206534)"
"アーム","POINT (135.804018 34.891234)"
"ふぁーすとコーヒー 沖縄","POINT (127.7292322 26.2296978)"
"珈琲のシャポー アクロス福岡店","POINT (130.402432 33.591467)"
"Happy Trails Coffee","POINT (129.6756392 33.174647)"
"コメダ珈琲店大森イトーヨーカドー店","POINT (139.732745 35.587095)"
"COFFEE & WINE STAND TOROCCO","POINT (139.697196 35.53093)"
"チルアウトコーヒー","POINT (137.000412 34.9012766)"
"珈琲工房ポエム 西尾店","POINT (137.0991355 34.8866305)"
"The aroma of beans","POINT (130.4402775 33.6590561)"
"てらす珈琲","POINT (139.4328603 35.5294096)"
"Vege mahi","POINT (139.93623 37.4891362)"
"gatto coffee","POINT (140.3627494 37.2961428)"
"kiina","POINT (130.5197141 30.4492236)"
"珈琲専科Vivid","POINT (135.357719 34.747208)"
"しるくろーど","POINT (135.100441 35.581272)"
"Fmハロー浜松カフェフロント","POINT (137.7324295 34.7039984)"
"コモチヅキ","POINT (140.218023 39.653832)"
"麹町珈琲東大店","POINT (139.76424 35.710388)"
"ドトールコーヒーショップ 姫路みゆき通り店","POINT (134.691478 34.82821)"
"富士見野","POINT (139.667387 35.712425)"
"さかい珈琲函南店","POINT (138.938669 35.077352)"
"珈琲屋らんぷ津高茶屋店","POINT (136.5165603 34.6709056)"
"CAFE BAR RAM","POINT (135.545864 34.683811)"
"上島珈琲店天神地下街店","POINT (130.398632 33.592438)"
"M&C CAFE 丸の内店","POINT (139.766866 35.683556)"
"スターバックス","POINT (139.630114 35.458954)"
"CAVE STORE","POINT (141.3449467 43.0682323)"
"ほんやら洞","POINT (139.4827712 35.6996474)"
"珈琲屋らんぷ 豊川店","POINT (137.36633 34.82006)"
"rag & bone coffee","POINT (139.707101 35.666698)"
"cotton john coffee","POINT (132.6816571 33.9030085)"
"しみずコーヒー店","POINT (135.773707 35.02895)"
"茶寮伊藤園","POINT (139.768108 35.545205)"
"ドトールコーヒーショップ","POINT (136.577432 36.516607)"
"タリーズコーヒー千歳アウトレットモール店","POINT (141.675088 42.811173)"
"スターバックス","POINT (139.750641 35.695714)"
"小楽園","POINT (139.6847688 35.6699712)"
"えきかふぇ","POINT (140.2136531 37.1294108)"
"木香里","POINT (134.803678 35.246392)"
"ツバイG線","POINT (132.4557207 34.3951873)"
"シーハトーブ","POINT (135.391978 33.644592)"
"こーひー珈琲","POINT (139.091759 36.394557)"
"ROKUMEI COFFEE CO. TOMIO ROASTERY","POINT (135.7399978 34.683311)"
"セレーネ","POINT (135.475099 34.689133)"
"自家焙煎 柿沼珈琲","POINT (139.1470513 36.3701069)"
"Tea Grace","POINT (135.342812 34.155047)"
"マメココロ - 茗荷谷","POINT (139.7409344 35.714425)"
"Labarplus","POINT (133.3605051 35.4407256)"
"発酵デリカテッセン カフェテリア Kouji&ko","POINT (139.7022772 35.6876618)"
"コメダ珈琲店高砂松陽店","POINT (134.783875 34.776826)"
"珈琲館亜麻亜亭","POINT (139.698901 35.68896)"
"Tully's Coffee Kashiwa Modi","POINT (139.971062 35.860811)"
"On Sundays","POINT (139.71335 35.670727)"
"レオナ","POINT (139.651963 35.565465)"
"豆子の食堂 まめちゃば","POINT (139.69228 35.8777225)"
"風のウタ","POINT (133.865112 34.587292)"
"Starbucks","POINT (139.57858 35.55442)"
"星乃珈琲店大東店","POINT (135.639055 34.703358)"
"シャンドゥフルール","POINT (137.2390462 36.7291779)"
"星乃珈琲店札幌伏古店","POINT (141.38725 43.081813)"
"星乃珈琲店春日部店","POINT (139.741717 35.967901)"
"カフェベローチェ 松戸店","POINT (139.898296 35.784289)"
"焙煎工房フィガロ","POINT (139.665115 35.425461)"
"スターバックス","POINT (136.963971 35.163974)"
"Perregaux","POINT (139.735903 35.703945)"
"New Things Coffee&Other","POINT (136.130313 34.766844)"
"珈食房 る ぱん 平針店","POINT (137.007977 35.124494)"
"倉式珈琲店","POINT (140.032272 35.653178)"
"スターバックス","POINT (135.499013 34.676445)"
"ひまつぶし","POINT (139.62102 35.907768)"
"ワーズワース","POINT (132.726537 33.801163)"
"柴原珈琲店","POINT (139.628087 35.415334)"
"コーヒータイム","POINT (140.433725 37.589853)"
"Tully's Coffee","POINT (139.925878 35.721574)"
"のらねこ屋","POINT (137.9230075 36.296859)"
"SHADE TREE Coffee","POINT (132.8569495 33.0202387)"
"アンド コーヒー","POINT (141.3365117 38.448935)"
"香笛世界長","POINT (136.686902 35.36598)"
"コメダ珈琲店千里丘駅東店","POINT (135.552688 34.790269)"
"星乃珈琲店加古川別府店","POINT (134.847725 34.730552)"
"ドトールコーヒーショップ 千葉県庁前駅前店","POINT (140.122968 35.602944)"
"珈琲館大島店","POINT (139.8344457 35.6898577)"
"Q.O.L COFFEE","POINT (136.9062352 35.1780528)"
"Sebastian Coffee","POINT (131.611177 33.186725)"
"タリーズコーヒー イオンレイクタウン越谷店","POINT (139.824633 35.877822)"
"大磯珈琲庵","POINT (139.3148674 35.3106377)"
"ドトールコーヒーショップ","POINT (139.629516 35.735628)"
"萌葱亭","POINT (133.539932 33.510601)"
"ドトールコーヒーショップ 阪急庄内店","POINT (135.474391 34.749135)"
"KALDI COFFEE FARM","POINT (135.536054 34.80576)"
"カフェ キートス","POINT (139.588355 35.536151)"
"SWEETTIMEPLUS","POINT (130.4354346 33.6155762)"
"スターバックス","POINT (136.933281 35.149242)"
"Bois Vert Terre","POINT (136.933844 35.137493)"
"パンとエスプレッソと 湘南","POINT (139.463768 35.3347687)"
"Coffee & Sweets 花音","POINT (144.3934679 43.6435885)"
"ドトールコーヒーショップ 岡山表町2丁目店","POINT (133.9294 34.661313)"
"ポラーノ","POINT (139.775745 35.685605)"
"タリーズコーヒー 金沢野々市店","POINT (136.608872 36.515277)"
"三ツ星亭","POINT (135.78941 34.720906)"
"ベックスコーヒーショップ 信濃町店","POINT (139.72021 35.68016)"
"カルディ コーヒーファーム イトーヨーカドー明石店","POINT (134.87843 34.705509)"
"高倉町珈琲 富山黒瀬店","POINT (137.2012075 36.6675975)"
"ドトールコーヒーショップ 原宿竹下口店","POINT (139.703337 35.669674)"
"KOFFEE MAMEYA","POINT (139.710815 35.66839)"
"マム ストロベリー ファーム","POINT (134.654512 33.951425)"
"芋屋金次郎卸団地店","POINT (133.5624325 33.5663044)"
"Browny - ブラウニー","POINT (136.9001772 35.1495078)"
"米ぬか酵素 河内長野店","POINT (135.5580078 34.4118994)"
"百年珈琲","POINT (136.6531719 36.562153)"
"岩本珈琲","POINT (141.430983 43.0290069)"
"コーヒーマルシェ","POINT (140.734625 41.773378)"
"ラペスカ","POINT (138.6669297 35.682324)"
"コーヒーレスト豆の木","POINT (134.3589983 34.0700478)"
"コメダコーヒー各務原那加住吉店","POINT (136.853496 35.398475)"
"かのこ","POINT (133.205588 34.409843)"
"スターバックス北見三輪店","POINT (143.8596246 43.7982659)"
"斎藤コーヒー","POINT (130.4486394 33.0390224)"
"シフォンケーキとコーヒーのお店　はちぶんのいち","POINT (139.1265035 37.7935161)"
"Sampocafe","POINT (139.9290247 35.8124817)"
"コンパスコーヒー 九品仏店","POINT (139.661322 35.604493)"
"あおい珈琲鈴鹿店","POINT (136.528923 34.872972)"
"Aomori Coffee Festival（青森コーヒーフェスティバル）","POINT (140.7373673 40.8250146)"
"Streamer Coffee Company","POINT (139.660668 35.658126)"
"SUN'S Coffee","POINT (140.3171528 37.1993846)"
"やまむろ","POINT (137.213579 36.691625)"
"珈琲屋クラムボン","POINT (136.9177446 36.9846539)"
"Salt&Sunソルト アンド サン","POINT (144.2588906 44.0319111)"
"美流おひさまの里","POINT (134.8700935 34.4587876)"
"鎌倉ほっとけーき","POINT (139.553233 35.322691)"
"One day coffee stand","POINT (139.317 35.6667)"
"カフェジャン CAFE GIANG 横浜中華街店","POINT (139.6473134 35.4438067)"
"コメダ珈琲店豊中上新田店","POINT (135.499146 34.800198)"
"ルノアール 中野北口店","POINT (139.666416 35.706877)"
"むさしの森珈琲二俣川店","POINT (139.522984 35.461747)"
"Bakery＆Table 東府や","POINT (138.9116025 34.9059962)"
"coffee albireo","POINT (144.9941161 44.0701558)"
"モンテゴ・ベイ","POINT (134.97095 34.950224)"
"稲忠珈琲庵","POINT (137.032034 34.80724)"
"田舎カフェレストラン めもりい","POINT (140.37802 38.549165)"
"敷島珈琲店","POINT (136.7425236 35.4113601)"
"Tsubaki Coffee and more","POINT (135.7826063 33.4737765)"
"Obscura Mart","POINT (139.6646883 35.6434594)"
"コメダ珈琲店深谷店","POINT (139.308676 36.175878)"
"Ken's珈琲店","POINT (139.769231 35.670997)"
"タリーズコーヒー 神保町店","POINT (139.755938 35.695643)"
"スターバックスコーヒー仙台六丁の目店","POINT (140.9366266 38.250885)"
"ten cafe  HIGASHI-CHO","POINT (138.6167613 35.2226814)"
"ナカムラコーヒーロースターs","POINT (138.8172803 37.5366081)"
"KALDI COFFEE FARM","POINT (140.084031 36.085233)"
"ドトールコーヒーショップ 荻窪北口大通り店","POINT (139.619478 35.705496)"
"コメダ珈琲店","POINT (139.586276 36.132473)"
"パイナップル","POINT (136.980477 35.314801)"
"STYLE'S COFFEE","POINT (139.577971 35.5556538)"
"フェブラリーコーヒーロースタリー","POINT (139.795457 35.715483)"
"くつろ樹","POINT (139.544043 35.707083)"
